label,precision,recall,f1,support
yes,0.984251968503937,0.9765625,0.9803921568627452,256
no,0.967479674796748,0.9444444444444444,0.9558232931726908,252
up,0.9630996309963099,0.9595588235294118,0.9613259668508287,272
down,0.9601593625498008,0.9525691699604744,0.9563492063492064,253
left,0.9737827715355806,0.9737827715355806,0.9737827715355806,267
right,0.9918032786885246,0.9343629343629344,0.9622266401590458,259
on,0.9835390946502057,0.9715447154471545,0.9775051124744376,246
off,0.9651162790697675,0.950381679389313,0.9576923076923078,262
stop,0.9877551020408163,0.9718875502008032,0.9797570850202428,249
go,0.927710843373494,0.9203187250996016,0.9239999999999999,251
unknown,0.9825378346915018,0.9887535145267105,0.9856358752773561,4268
silence,0.9405204460966543,0.9844357976653697,0.9619771863117872,257
