label,precision,recall,f1,support
yes,0.9878048780487805,0.94921875,0.9681274900398407,256
no,0.9236947791164659,0.9126984126984127,0.9181636726546906,252
up,0.9800796812749004,0.9044117647058824,0.9407265774378586,272
down,0.9606986899563319,0.8695652173913043,0.9128630705394191,253
left,0.9625468164794008,0.9625468164794008,0.9625468164794008,267
right,0.9912663755458515,0.8764478764478765,0.930327868852459,259
on,0.936,0.9512195121951219,0.9435483870967742,246
off,0.9609375,0.9389312977099237,0.9498069498069499,262
stop,0.9876543209876543,0.963855421686747,0.975609756097561,249
go,0.9053497942386831,0.8764940239043825,0.8906882591093117,251
unknown,0.9578971324533455,0.9861761949390815,0.9718309859154931,4268
silence,0.9829787234042553,0.8988326848249028,0.9390243902439025,257
