tau,accuracy,macro_f1,keyword_macro_f1
0.0,0.3835034013605442,0.5490339380086484,0.9532648754402426
0.01,0.3835034013605442,0.5490339380086484,0.9532648754402426
0.02,0.3835034013605442,0.5490339380086484,0.9532648754402426
0.03,0.3835034013605442,0.5490339380086484,0.9532648754402426
0.04,0.3835034013605442,0.5490339380086484,0.9532648754402426
0.05,0.3835034013605442,0.5490339380086484,0.9532648754402426
0.06,0.3835034013605442,0.5490339380086484,0.9532648754402426
0.07,0.3835034013605442,0.5490339380086484,0.9532648754402426
0.08,0.3835034013605442,0.5490339380086484,0.9532648754402426
0.09,0.3835034013605442,0.5490339380086484,0.9532648754402426
0.1,0.7166950113378685,0.7288891170100181,0.9528660767643358
0.11,0.7871315192743764,0.7786317202188006,0.9532531688559637
0.12,0.8261054421768708,0.8094583555331732,0.9534263937811824
0.13,0.8530328798185941,0.8320027128466685,0.9537676870686209
0.14,0.8714569160997733,0.8482679740029848,0.9535560593869249
0.15,0.885062358276644,0.8608795949528926,0.9541148870556693
0.16,0.8935657596371882,0.8697001512017958,0.954837672180545
0.17,0.9015022675736961,0.877044624094799,0.9546324617597033
0.18,0.909297052154195,0.8852686408641013,0.9551435022134287
0.19,0.9151077097505669,0.891042944597757,0.9549390618872067
0.2,0.9187925170068028,0.8946348210416449,0.9547275327542376
0.21,0.9231859410430839,0.8994484581174099,0.9548615069468787
0.22,0.9261621315192744,0.9027544853815438,0.9546287393785361
0.23,0.9295634920634921,0.906462882455949,0.9541745744418597
0.24,0.9321145124716553,0.9094303705265937,0.9541745744418597
0.25,0.935515873015873,0.913038217757472,0.9539439834283436
0.26,0.9375,0.9151763715025445,0.9537061034917287
0.27,0.939625850340136,0.9174429463026441,0.9534975665089981
0.28,0.9418934240362812,0.9197505192235359,0.953283483724956
0.29,0.94359410430839,0.9219553813396554,0.9533765798499754
0.3,0.9447278911564626,0.9232898337138248,0.953350811057668
0.31,0.9465702947845805,0.9254217000833359,0.9531327121346805
0.32,0.9472789115646258,0.9263464938736127,0.9522808844921556
0.33,0.9492630385487528,0.9284668191902187,0.9520659968856172
0.34,0.9503968253968254,0.9296298790874208,0.9514579147205036
0.35,0.9519557823129252,0.9315888756400567,0.9518208821888823
0.36,0.951672335600907,0.9312425714255174,0.9507495576117909
0.37,0.9519557823129252,0.9317960147333192,0.9505317978132786
0.38,0.9529478458049887,0.9328041842675745,0.9501104492778769
0.39,0.953656462585034,0.9336668231478482,0.9496918598405577
0.4,0.9545068027210885,0.9348208248530917,0.9498495341445736
0.41,0.9552154195011338,0.9357915298021028,0.9498075345092
0.42,0.9552154195011338,0.9360288986551533,0.9497499643327172
0.43,0.9559240362811792,0.9369751557551131,0.9497499643327172
0.44,0.9566326530612245,0.9381817109668676,0.9501252666576446
0.45,0.9566326530612245,0.93812106802031,0.9499098292186572
0.46,0.9570578231292517,0.9385383793482055,0.9494847338009225
0.47,0.9573412698412699,0.9388307516055273,0.949274572982209
0.48,0.9577664399092971,0.9392473250440786,0.9486685210934962
0.49,0.9574829931972789,0.9392755914093464,0.9484025605594317
0.5,0.9574829931972789,0.9396217595077759,0.9481349637337584
0.51,0.9583333333333334,0.9412248086427025,0.948644374689307
0.52,0.9587585034013606,0.9417912781061012,0.9484023833773125
0.53,0.9583333333333334,0.9413049718876637,0.9475377535543197
0.54,0.9577664399092971,0.9408083442574168,0.9468472050043326
0.55,0.9580498866213152,0.9410351663295106,0.9459901103934051
0.56,0.9577664399092971,0.9405756542235958,0.945333122102834
0.57,0.9574829931972789,0.9404464706843113,0.9452764955006131
0.58,0.9569160997732427,0.9397879750966979,0.944601099416715
0.59,0.9570578231292517,0.9400478843017273,0.9439530974743885
0.6,0.9567743764172335,0.9397712446810224,0.9439211323876681
0.61,0.9562074829931972,0.939298581936799,0.944075978891669
0.62,0.9554988662131519,0.9382496482660209,0.9425895130289625
0.63,0.9540816326530612,0.936598211661957,0.9410299072719333
0.64,0.9529478458049887,0.935145291647601,0.9401256838862379
0.65,0.951672335600907,0.9335383341487017,0.9389849284274435
0.66,0.9512471655328798,0.9330158168573909,0.9383125524673195
0.67,0.9501133786848073,0.9315777127809811,0.937844767132437
0.68,0.9498299319727891,0.9314952877674489,0.9377627674678332
0.69,0.9477040816326531,0.9284940138995962,0.9359988489946056
0.7,0.9457199546485261,0.9259039264446449,0.9339166423216163
