label,precision,recall,f1,support
yes,0.9686274509803922,0.96484375,0.9667318982387475,256
no,0.937007874015748,0.9444444444444444,0.9407114624505929,252
up,0.9632352941176471,0.9632352941176471,0.9632352941176471,272
down,0.9620253164556962,0.9011857707509882,0.9306122448979592,253
left,0.9481481481481482,0.9588014981273408,0.9534450651769087,267
right,0.952191235059761,0.9227799227799228,0.9372549019607843,259
on,0.944,0.959349593495935,0.9516129032258064,246
off,0.9686274509803922,0.9427480916030534,0.9555125725338491,262
stop,0.9683794466403162,0.9839357429718876,0.9760956175298805,249
go,0.9253112033195021,0.8884462151394422,0.9065040650406504,251
unknown,0.9820009350163628,0.9843017806935332,0.9831500117013807,4268
silence,0.927536231884058,0.9961089494163424,0.9606003752345216,257
