label,precision,recall,f1,support
yes,0.9725490196078431,0.96875,0.9706457925636007,256
no,0.91015625,0.9246031746031746,0.9173228346456693,252
up,0.9137931034482759,0.9742647058823529,0.9430604982206406,272
down,0.9493670886075949,0.8893280632411067,0.9183673469387754,253
left,0.9448529411764706,0.9625468164794008,0.953617810760668,267
right,0.9204545454545454,0.9382239382239382,0.9292543021032504,259
on,0.9518072289156626,0.9634146341463414,0.9575757575757576,246
off,0.9841897233201581,0.950381679389313,0.9669902912621358,262
stop,0.9758064516129032,0.9718875502008032,0.9738430583501007,249
go,0.916,0.9123505976095617,0.9141716566866267,251
unknown,0.9858889934148636,0.9821930646672915,0.9840375586854461,4268
silence,0.9548872180451128,0.9883268482490273,0.9713193116634798,257
