label,precision,recall,f1,support
yes,0.9880952380952381,0.97265625,0.9803149606299213,256
no,0.9299610894941635,0.9484126984126984,0.9390962671905697,252
up,0.9635036496350365,0.9705882352941176,0.967032967032967,272
down,0.9637096774193549,0.9446640316205533,0.9540918163672655,253
left,0.9776119402985075,0.9812734082397003,0.9794392523364486,267
right,0.9959677419354839,0.9536679536679536,0.9743589743589743,259
on,0.9561752988047809,0.975609756097561,0.96579476861167,246
off,0.9841269841269841,0.9465648854961832,0.9649805447470817,262
stop,0.9876543209876543,0.963855421686747,0.975609756097561,249
go,0.9512195121951219,0.9322709163346613,0.9416498993963781,251
unknown,0.9867008866075595,0.9908622305529522,0.9887771802665419,4268
silence,0.9250936329588015,0.9610894941634242,0.9427480916030535,257
