label,precision,recall,f1,support
yes,0.9644268774703557,0.953125,0.9587426326129665,256
no,0.921161825726141,0.8809523809523809,0.9006085192697768,252
up,0.9915966386554622,0.8676470588235294,0.9254901960784314,272
down,0.8111888111888111,0.9169960474308301,0.8608534322820036,253
left,0.97265625,0.9325842696629213,0.9521988527724665,267
right,0.9628099173553719,0.8996138996138996,0.9301397205588822,259
on,0.9126984126984127,0.9349593495934959,0.9236947791164658,246
off,0.9566929133858267,0.9274809160305344,0.9418604651162792,262
stop,0.987603305785124,0.9598393574297188,0.9735234215885947,249
go,0.9691629955947136,0.8764940239043825,0.9205020920502092,251
unknown,0.9607485166590598,0.9864104967197751,0.9734104046242774,4268
silence,0.9269406392694064,0.7898832684824902,0.8529411764705883,257
