epoch,step,train_loss,val_macro_f1,val_accuracy,learning_rate
1,104,3.4288728603949914,0.07222966124885097,0.29903628117913833,0.020192307692307693
2,208,3.208206736124479,0.19929167031107,0.47505668934240364,0.040192307692307694
3,312,2.544984595133708,0.3522281891592078,0.5905612244897959,0.06019230769230769
4,416,1.7832864075899124,0.5523702124942975,0.7227891156462585,0.0801923076923077
5,520,1.208896038050835,0.6704273266416511,0.7945011337868481,0.09999999772506826
6,624,0.9506490173248144,0.7992861857067758,0.8742913832199547,0.09997492120709524
7,728,0.8258930719815768,0.7847957799356055,0.8635204081632653,0.09990066527309738
8,832,0.7553415458935958,0.8418119468806434,0.9016439909297053,0.09977731112084832
9,936,0.7134704922254269,0.8059868474981463,0.8506235827664399,0.09960499363630249
10,1040,0.6651475400878832,0.8600274625637567,0.9094387755102041,0.09938390124609925
11,1144,0.6424912649851579,0.8223756537707462,0.8825113378684807,0.09911427571152129
12,1248,0.6175492663796132,0.7286512788823067,0.8346088435374149,0.09879641186413203
13,1352,0.5972772194789007,0.8475698848836727,0.9024943310657596,0.0984306572833818
14,1456,0.5807344434926143,0.8115049440095001,0.8809523809523809,0.09801741191653467
15,1560,0.5700987717853143,0.8423149973361302,0.8996598639455783,0.09755712764133208
16,1664,0.5626547872447051,0.8244722184565948,0.8842120181405896,0.09705030777187115
17,1768,0.5611853797275287,0.8292928494947606,0.8893140589569161,0.09649750650823807
18,1872,0.5528695167830358,0.8770967406113316,0.92531179138322,0.09589932833049848
19,1976,0.5398458609214196,0.8337331212802828,0.9002267573696145,0.0952564273377074
20,2080,0.5403794308121388,0.8528259865169411,0.9084467120181405,0.09456950653266141
21,2184,0.5332945785843409,0.7906004524625772,0.8662131519274376,0.09383931705317562
22,2288,0.5307993011978956,0.8700062259689862,0.9149659863945578,0.09306665735072528
23,2392,0.5268919780277289,0.7151378997591508,0.7828798185941043,0.09225237231735095
24,2496,0.527323033947211,0.8639662941786792,0.9121315192743764,0.09139735236178143
25,2600,0.5178280756450616,0.8679973225134985,0.9155328798185941,0.09050253243578484
26,2704,0.5075206129023662,0.8755990798682353,0.9210600907029478,0.08956889101181263
27,2808,0.5087857727821057,0.8307510473149615,0.8928571428571429,0.08859744901305436
28,2912,0.5037155950871798,0.8786538807503961,0.9204931972789115,0.08758926869707308
29,3016,0.5068823070480273,0.8569040569269187,0.9128401360544217,0.08654545249424239
30,3120,0.5072499868961481,0.8635776457416515,0.9153911564625851,0.08546714180225488
31,3224,0.5019521292012471,0.8277616271687146,0.8823696145124716,0.08435551573802069
32,3328,0.49777764024642795,0.8622060529905392,0.9060374149659864,0.08321178984832032
33,3432,0.4859453689020414,0.8873634176539245,0.9250283446712018,0.08203721478062213
34,3536,0.48609772238593835,0.87136936162041,0.9169501133786848,0.08083307491551772
35,3640,0.4939509779214859,0.8824575183256617,0.9298469387755102,0.07960068696227057
36,3744,0.4862380623817444,0.8615013834786879,0.9132653061224489,0.07834139851901382
37,3848,0.4866832219637357,0.87037660090241,0.9168083900226758,0.07705658659917149
38,3952,0.48700452968478203,0.8473574865409003,0.903202947845805,0.0757476561257145
39,4056,0.47885868469109905,0.8788967662007745,0.9220521541950113,0.07441603839489808
40,4160,0.4844080906074781,0.8401037794162286,0.8998015873015873,0.07306318951116021
41,4264,0.4748173078092245,0.8761302531914784,0.9204931972789115,0.07169058879489298
42,4368,0.47736244104229486,0.8803637203550939,0.9226190476190477,0.07029973716482729
43,4472,0.4740762733496152,0.842955484255166,0.9083049886621315,0.06889215549680033
44,4576,0.4654117828378311,0.8902517355827788,0.9328231292517006,0.06746938296070021
45,4680,0.47072992330560315,0.874674809171911,0.9238945578231292,0.0660329753374062
46,4784,0.4709645269008783,0.8880643638703655,0.9301303854875284,0.06458450331756524
47,4888,0.46235460157577807,0.9036318420194883,0.9392006802721088,0.06312555078406477
48,4992,0.46211894716207796,0.8911336443180179,0.9321145124716553,0.06165771308008006
49,5096,0.4694624732320125,0.8449316764480942,0.9015022675736961,0.06018259526458985
50,5200,0.4599999882853948,0.910835222774538,0.9443027210884354,0.0587018103572679
51,5304,0.4540190100669861,0.9038503628526628,0.9387755102040817,0.05721697757466973
52,5408,0.4625202546326014,0.8482754337480659,0.903344671201814,0.055729720559642974
53,5512,0.4553618227633146,0.8772314176171817,0.9226190476190477,0.054241665605897896
54,5616,0.4591095848725392,0.8850551755289847,0.93140589569161,0.05275443987967903
55,5720,0.45827682316303253,0.8650368828489184,0.9163832199546486,0.05126966964048273
56,5824,0.44454540169009793,0.9087024419317794,0.941609977324263,0.04978897846276645
57,5928,0.4483989878342702,0.8783363984124888,0.9237528344671202,0.04831398546059365
58,6032,0.4469002098418199,0.8881054471972493,0.9312641723356009,0.04684630351715662
59,6136,0.43978147953748703,0.9049989719390377,0.9393424036281179,0.04538753752111222
60,6240,0.4397699340031697,0.8435886082989329,0.9000850340136054,0.043939282611659726
61,6344,0.4333799040088287,0.9012403062653364,0.9360827664399093,0.04250312243427956
62,6448,0.44047929317905354,0.9175550240387128,0.9471371882086168,0.04108062740904023
63,6552,0.4418448327252498,0.9021562775392447,0.9383503401360545,0.03967335301336692
64,6656,0.4363668755843089,0.91254863376699,0.9444444444444444,0.038282838081149934
65,6760,0.43405847595288205,0.8999301051155059,0.9363662131519275,0.03691060312005231
66,6864,0.4293549017837414,0.9042853563127716,0.9417517006802721,0.035558148648857084
67,6968,0.42847063277776426,0.9184618405932473,0.9457199546485261,0.03422695355667193
68,7072,0.42357288415615374,0.9165063760231674,0.9469954648526077,0.03291847348578575
69,7176,0.4312473853620199,0.9096779043839173,0.9409013605442177,0.03163413923994517
70,7280,0.4241222458390089,0.9148117832546379,0.9472789115646258,0.030375355219791594
71,7384,0.42112883667533213,0.899877724481993,0.9343820861678005,0.02914349788716979
72,7488,0.41426786608420885,0.9085170115963405,0.9423185941043084,0.027939914259987028
73,7592,0.4167252460924479,0.9218905788798647,0.9513888888888888,0.026765920439268804
74,7696,0.41516978350969463,0.9142096458933654,0.9431689342403629,0.02562280017002165
75,7800,0.4165483352083426,0.8474184035260733,0.9030612244897959,0.024511803437476876
76,7904,0.40787965718370217,0.92309410145885,0.9529478458049887,0.023434145100250048
77,8008,0.4099288717485391,0.9110544700676582,0.9428854875283447,0.022391003561910868
78,8112,0.40649886744526714,0.9045292121446714,0.9387755102040817,0.021383519482416277
79,8216,0.4079106060358194,0.9142102922878569,0.94359410430839,0.020412794530815473
80,8320,0.4056938451070052,0.912263331330185,0.9448696145124716,0.01947989018059099
81,8424,0.4029392668834099,0.9248847972608951,0.9522392290249433,0.018585826548953032
82,8528,0.40027259490810907,0.9105093633359885,0.9465702947845805,0.017731581281356292
83,8632,0.4045336057360356,0.9323391335369493,0.9569160997732427,0.016918088482458987
84,8736,0.39967384533240247,0.9228089655143433,0.953798185941043,0.016146237694693116
85,8840,0.3996088169515133,0.9211839843804052,0.951530612244898,0.015416872925562906
86,8944,0.3923791440633627,0.9327808560932525,0.9593253968253969,0.014730791724734986
87,9048,0.39350653095887256,0.9156907714166227,0.9454365079365079,0.014088744311929505
88,9152,0.389556540032992,0.9314235642898859,0.9566326530612245,0.013491432756565927
89,9256,0.3914836776944307,0.9238255944241702,0.953656462585034,0.012939510210060401
90,9360,0.3867112790735868,0.9211908708442543,0.9499716553287982,0.012433580191614295
91,9464,0.3929053493417226,0.9322486179633289,0.9584750566893424,0.011974195928274773
