epoch,step,train_loss,val_macro_f1,val_accuracy,learning_rate
1,104,3.3414351160709677,0.19993207610699518,0.5384070294784581,0.00020192307692307694
2,208,2.6294020208028646,0.567579136908983,0.7263321995464853,0.00040192307692307695
3,312,1.8170238320644085,0.6969371044925431,0.8051303854875284,0.0006019230769230769
4,416,1.3153192137296383,0.8253709815212383,0.8878968253968254,0.000801923076923077
5,520,1.0542676104949071,0.8540281614465725,0.9060374149659864,0.0009999999772506826
6,624,0.9129113709697356,0.8761609594219529,0.9206349206349206,0.0009997492120709525
7,728,0.8196318992055379,0.8769827072950952,0.9217687074829932,0.0009990066527309739
8,832,0.7476825605218227,0.8865787060504532,0.9285714285714286,0.0009977731112084832
9,936,0.7051694307189721,0.9058461432802144,0.9390589569160998,0.0009960499363630248
10,1040,0.6584375626765765,0.9138025491635772,0.9454365079365079,0.0009938390124609926
11,1144,0.6326243470494564,0.9174760489996462,0.9464285714285714,0.000991142757115213
12,1248,0.6009136243508413,0.9148506010002784,0.9451530612244898,0.0009879641186413203
13,1352,0.5790115276781412,0.921026220833197,0.9498299319727891,0.0009843065728338178
14,1456,0.5669594203623441,0.9259049370473114,0.9519557823129252,0.0009801741191653465
15,1560,0.5438333483269582,0.9281405100734794,0.9532312925170068,0.0009755712764133208
16,1664,0.5348654134342303,0.9305938454446426,0.9550736961451247,0.0009705030777187115
17,1768,0.5154410844238905,0.9302181914704648,0.9559240362811792,0.0009649750650823806
18,1872,0.511687947007326,0.934972248950265,0.9584750566893424,0.0009589932833049848
19,1976,0.5031140690239576,0.926088604512035,0.9542233560090703,0.0009525642733770738
20,2080,0.49157871764439803,0.9315754442402301,0.9566326530612245,0.0009456950653266141
21,2184,0.48548668365065867,0.9352705762490584,0.9598922902494331,0.0009383931705317562
22,2288,0.4777160951724419,0.9374101006620196,0.9606009070294784,0.0009306665735072527
23,2392,0.4608878891628522,0.9317611381412666,0.9564909297052154,0.0009225237231735095
24,2496,0.4585516332433774,0.9423594574858484,0.9630102040816326,0.0009139735236178143
25,2600,0.44953775291259473,0.9370424060114343,0.9597505668934241,0.0009050253243578484
26,2704,0.45092754925672823,0.9422191293616784,0.9641439909297053,0.0008956889101181262
27,2808,0.4405851478760059,0.9403007283321715,0.9627267573696145,0.0008859744901305436
28,2912,0.4388014098199514,0.9378674208719442,0.9613095238095238,0.0008758926869707308
29,3016,0.43814897967072636,0.946132765101385,0.9659863945578231,0.0008654545249424238
30,3120,0.4281103484905683,0.9449093496878365,0.965702947845805,0.0008546714180225487
31,3224,0.425214571161912,0.9430900791603132,0.963718820861678,0.0008435551573802069
32,3328,0.4150064134827027,0.9440954529580465,0.9645691609977324,0.0008321178984832032
33,3432,0.4153226874768734,0.9422837799865323,0.9647108843537415,0.0008203721478062212
34,3536,0.4136235825717449,0.9394433472188032,0.9618764172335601,0.0008083307491551771
35,3640,0.40903212416630524,0.9388577325075872,0.9618764172335601,0.0007960068696227056
36,3744,0.40535995851342493,0.9466607163782105,0.9649943310657596,0.0007834139851901382
37,3848,0.4025871498653522,0.9449920058063647,0.9654195011337868,0.0007705658659917148
38,3952,0.395283483255368,0.9491041118913232,0.9682539682539683,0.000757476561257145
39,4056,0.39432348110354865,0.9452042617363677,0.9664115646258503,0.0007441603839489808
40,4160,0.38562899512740284,0.9440956485418567,0.965844671201814,0.0007306318951116021
41,4264,0.3914036616109885,0.9522202594087816,0.969671201814059,0.0007169058879489299
42,4368,0.3873302976672466,0.9540311877866928,0.9706632653061225,0.0007029973716482729
43,4472,0.3828155639079901,0.9474631683096709,0.9672619047619048,0.0006889215549680033
44,4576,0.38167096789066607,0.9491065796310533,0.9674036281179138,0.0006746938296070021
45,4680,0.36995483017884767,0.9504748451780384,0.9686791383219955,0.0006603297533740619
46,4784,0.3686562507198407,0.9521605186180114,0.9700963718820862,0.0006458450331756524
47,4888,0.36614253515234363,0.9465953875578051,0.967828798185941,0.0006312555078406476
48,4992,0.37387279163186365,0.9482392927758899,0.967828798185941,0.0006165771308008006
49,5096,0.368034476844164,0.9508370138280816,0.9691043083900227,0.0006018259526458984
50,5200,0.35839440301060677,0.9518346375008009,0.9693877551020408,0.000587018103572679
51,5304,0.36281489437589276,0.9509399125200555,0.9692460317460317,0.0005721697757466972
52,5408,0.35746541304083973,0.9524096743555681,0.9700963718820862,0.0005572972055964297
53,5512,0.35773287885464156,0.9473583256848488,0.9665532879818595,0.0005424166560589789
54,5616,0.35641523737173814,0.9509555783739985,0.9691043083900227,0.0005275443987967903
55,5720,0.35618741552417094,0.9531298650450779,0.9708049886621315,0.0005126966964048273
56,5824,0.34782952958574664,0.9493530498695019,0.9693877551020408,0.0004978897846276644
