label,precision,recall,f1,support
yes,0.9612403100775194,0.96875,0.9649805447470817,256
no,0.937007874015748,0.9444444444444444,0.9407114624505929,252
up,0.8859060402684564,0.9705882352941176,0.9263157894736842,272
down,0.9655172413793104,0.8853754940711462,0.9237113402061856,253
left,0.937037037037037,0.947565543071161,0.9422718808193669,267
right,0.9274809160305344,0.9382239382239382,0.9328214971209214,259
on,0.9595141700404858,0.9634146341463414,0.9614604462474645,246
off,0.98046875,0.9580152671755725,0.9691119691119692,262
stop,0.9796747967479674,0.9678714859437751,0.9737373737373738,249
go,0.8972332015810277,0.9043824701195219,0.9007936507936508,251
unknown,0.9886175005928385,0.9768041237113402,0.9826753093694754,4268
silence,0.8595317725752508,1.0,0.9244604316546762,257
