label,precision,recall,f1,support
yes,0.988,0.96484375,0.9762845849802372,256
no,0.91796875,0.9325396825396826,0.9251968503937008,252
up,0.8244514106583072,0.9669117647058824,0.8900169204737733,272
down,0.9621848739495799,0.9051383399209486,0.9327902240325866,253
left,0.9735849056603774,0.9662921348314607,0.9699248120300753,267
right,0.9956896551724138,0.8918918918918919,0.9409368635437881,259
on,0.9621848739495799,0.9308943089430894,0.9462809917355373,246
off,0.988,0.9427480916030534,0.96484375,262
stop,0.9757085020242915,0.9678714859437751,0.9717741935483871,249
go,0.9083665338645418,0.9083665338645418,0.9083665338645418,251
unknown,0.9808187134502924,0.982427366447985,0.9816223808966406,4268
silence,0.9298892988929889,0.980544747081712,0.9545454545454545,257
