label,precision,recall,f1,support
yes,0.9609375,0.9609375,0.9609375,256
no,0.8604651162790697,0.8809523809523809,0.8705882352941177,252
up,0.9560439560439561,0.9595588235294118,0.9577981651376147,272
down,0.8816793893129771,0.9130434782608695,0.8970873786407766,253
left,0.9683794466403162,0.9176029962546817,0.9423076923076923,267
right,0.951417004048583,0.9073359073359073,0.9288537549407114,259
on,0.9190283400809717,0.9227642276422764,0.920892494929006,246
off,0.9710743801652892,0.8969465648854962,0.9325396825396824,262
stop,0.983739837398374,0.9718875502008032,0.9777777777777777,249
go,0.857707509881423,0.8645418326693227,0.8611111111111112,251
unknown,0.9782099343955014,0.9782099343955014,0.9782099343955014,4268
silence,0.8606271777003485,0.9610894941634242,0.9080882352941178,257
