label,precision,recall,f1,support
yes,0.9612403100775194,0.96875,0.9649805447470817,256
no,0.9251968503937008,0.9325396825396826,0.9288537549407115,252
up,0.9704797047970479,0.9669117647058824,0.9686924493554329,272
down,0.9473684210526315,0.924901185770751,0.9359999999999999,253
left,0.9377289377289377,0.9588014981273408,0.9481481481481482,267
right,0.9233716475095786,0.9305019305019305,0.926923076923077,259
on,0.9833333333333333,0.959349593495935,0.97119341563786,246
off,0.9689922480620154,0.9541984732824428,0.9615384615384615,262
stop,0.9723320158102767,0.9879518072289156,0.9800796812749004,249
go,0.9354838709677419,0.9243027888446215,0.9298597194388777,251
unknown,0.9856773890584645,0.9835988753514526,0.9846370352996364,4268
silence,0.9518518518518518,1.0,0.9753320683111955,257
