epoch,step,train_loss,val_macro_f1,val_accuracy,learning_rate
1,414,3.359983551905351,0.20346520010914762,0.46343537414965985,0.010024154589371982
2,828,2.601652881661475,0.4578158392567582,0.6825396825396826,0.020024154589371984
3,1242,1.6849139848193109,0.7080807751942766,0.8218537414965986,0.030024154589371983
4,1656,1.1846202922903972,0.7966289220862356,0.8737244897959183,0.04002415458937198
5,2070,0.9650197875672493,0.828234085502681,0.8937074829931972,0.05
6,2484,0.8363892607354887,0.8464316001420286,0.9016439909297053,0.05
7,2898,0.7718086627082549,0.8602628920664291,0.9159580498866213,0.05
8,3312,0.7057783952081836,0.8663474221182735,0.9145408163265306,0.05
9,3726,0.6710326868122902,0.8694340235169858,0.9189342403628118,0.05
10,4140,0.6268711869699367,0.87435467229714,0.9182256235827665,0.05
11,4554,0.6087957943119289,0.8756712396406146,0.9260204081632653,0.05
12,4968,0.5814941370688774,0.873272158884885,0.9261621315192744,0.05
13,5382,0.564607855418454,0.8919817479322282,0.9325396825396826,0.05
14,5796,0.5550477512648716,0.9136794599202024,0.9477040816326531,0.05
15,6210,0.5379911306255681,0.9071764047758145,0.94359410430839,0.05
16,6624,0.5255401288541619,0.9113922022561738,0.9445861678004536,0.05
17,7038,0.508914390011974,0.9014141821411061,0.9380668934240363,0.05
18,7452,0.5197798753706153,0.9186411916038124,0.949546485260771,0.05
19,7866,0.49331652059935144,0.9149183922005241,0.9489795918367347,0.05
20,8280,0.4915679837194618,0.926782916680703,0.955640589569161,0.05
21,8694,0.4851382521615512,0.8918181701515736,0.9352324263038548,0.05
22,9108,0.4785107376350873,0.9169557758605696,0.9457199546485261,0.05
23,9522,0.4691384470693155,0.9086382124338076,0.9451530612244898,0.05
24,9936,0.46749514254970825,0.9066616780000475,0.9440192743764172,0.05
25,10350,0.4662137011039084,0.9191787465646176,0.9486961451247166,0.05
26,10764,0.4602615600406836,0.9110355260235484,0.9462868480725624,0.05
27,11178,0.4575784057378769,0.9238969466491165,0.9519557823129252,0.05
28,11592,0.4486079819968357,0.9145597502082575,0.9498299319727891,0.05
