label,precision,recall,f1,support
yes,0.9575289575289575,0.96875,0.9631067961165048,256
no,0.89453125,0.9087301587301587,0.9015748031496064,252
up,0.8666666666666667,0.9558823529411765,0.9090909090909091,272
down,0.9137254901960784,0.9209486166007905,0.9173228346456694,253
left,0.9311594202898551,0.9625468164794008,0.9465930018416207,267
right,0.9529411764705882,0.9382239382239382,0.9455252918287939,259
on,0.959349593495935,0.959349593495935,0.959349593495935,246
off,0.979757085020243,0.9236641221374046,0.9508840864440079,262
stop,0.952,0.9558232931726908,0.9539078156312626,249
go,0.926829268292683,0.9083665338645418,0.9175050301810864,251
unknown,0.9833255049318929,0.9810215557638238,0.9821721792165142,4268
silence,0.930327868852459,0.8832684824902723,0.906187624750499,257
