label,precision,recall,f1,support
yes,0.9881422924901185,0.9765625,0.9823182711198427,256
no,0.963265306122449,0.9365079365079365,0.9496981891348089,252
up,0.9696969696969697,0.9411764705882353,0.955223880597015,272
down,0.9448818897637795,0.9486166007905138,0.9467455621301775,253
left,0.9772727272727273,0.9662921348314607,0.9717514124293786,267
right,0.9918367346938776,0.9382239382239382,0.9642857142857143,259
on,0.9588477366255144,0.9471544715447154,0.952965235173824,246
off,0.980544747081712,0.9618320610687023,0.9710982658959537,262
stop,0.9878048780487805,0.9759036144578314,0.9818181818181818,249
go,0.9672131147540983,0.9402390438247012,0.9535353535353536,251
unknown,0.9813215036189586,0.9847703842549204,0.9830429189568473,4268
silence,0.8095238095238095,0.9260700389105059,0.8638838475499092,257
