backbone,stage,experiment_id,seed,strategy,resolved_config_path,run_dir,val_accuracy,val_macro_f1,val_keyword_macro_f1,test_accuracy,test_macro_f1,test_keyword_macro_f1,selected_tau
bcresnet,stage1,bcresnet_strategy_a,1338,a,/Users/michaliwaniuk/Desktop/dl-2/outputs/runs/stage1/bcresnet_strategy_a/seed_1338/resolved_config.yaml,/Users/michaliwaniuk/Desktop/dl-2/outputs/runs/stage1/bcresnet_strategy_a/seed_1338,0.9682539682539683,0.9499806220499033,0.9608089900127037,0.9723632261703328,0.9563531963012816,0.9636152896681607,0.52
kwt,stage1,kwt_strategy_a,1337,a,/Users/michaliwaniuk/Desktop/dl-2/outputs/runs/stage1/kwt_strategy_a/seed_1337/resolved_config.yaml,/Users/michaliwaniuk/Desktop/dl-2/outputs/runs/stage1/kwt_strategy_a/seed_1337,0.9720804988662132,0.9563319081008994,0.961279776315003,0.9647490129723633,0.9458964991451845,0.966163191354973,0.48
matchboxnet,stage1,matchboxnet_strategy_a,1338,a,/Users/michaliwaniuk/Desktop/dl-2/outputs/runs/stage1/matchboxnet_strategy_a/seed_1338/resolved_config.yaml,/Users/michaliwaniuk/Desktop/dl-2/outputs/runs/stage1/matchboxnet_strategy_a/seed_1338,0.969954648526077,0.9517239114893571,0.9584509378776858,0.9661590524534687,0.9466184408992073,0.9632728460923854,0.64
