label,precision,recall,f1,support
yes,0.9841269841269841,0.96875,0.9763779527559054,256
no,0.9407114624505929,0.9444444444444444,0.9425742574257425,252
up,0.8839590443686007,0.9522058823529411,0.9168141592920354,272
down,0.9711934156378601,0.932806324110672,0.9516129032258066,253
left,0.9661654135338346,0.9625468164794008,0.9643527204502814,267
right,0.975609756097561,0.9266409266409267,0.9504950495049506,259
on,0.8917910447761194,0.9715447154471545,0.9299610894941633,246
off,0.9619771863117871,0.9656488549618321,0.9638095238095238,262
stop,0.9838056680161943,0.9759036144578314,0.9798387096774194,249
go,0.9543568464730291,0.9163346613545816,0.9349593495934959,251
unknown,0.9768518518518519,0.9887535145267105,0.9827666511411273,4268
silence,0.98,0.7626459143968871,0.8577680525164114,257
