tau,accuracy,macro_f1,keyword_macro_f1
0.0,0.3864795918367347,0.6036055277774847,0.9593161283510113
0.01,0.3864795918367347,0.6036055277774847,0.9593161283510113
0.02,0.3864795918367347,0.6036055277774847,0.9593161283510113
0.03,0.3864795918367347,0.6036055277774847,0.9593161283510113
0.04,0.3864795918367347,0.6036055277774847,0.9593161283510113
0.05,0.3864795918367347,0.6036055277774847,0.9593161283510113
0.06,0.3864795918367347,0.6036055277774847,0.9593161283510113
0.07,0.3864795918367347,0.6036055277774847,0.9593161283510113
0.08,0.3864795918367347,0.6036055277774847,0.9593161283510113
0.09,0.3864795918367347,0.6036055277774847,0.9593161283510113
0.1,0.8553004535147393,0.8392635689529819,0.9598148141043197
0.11,0.9016439909297053,0.8805203290350189,0.9614181945419553
0.12,0.9170918367346939,0.8953893722850178,0.9611788472531659
0.13,0.9270124716553289,0.9054693111352222,0.9610712457574039
0.14,0.933531746031746,0.9124183167851952,0.9611870755546633
0.15,0.9379251700680272,0.9171604343061435,0.9613663970297892
0.16,0.9417517006802721,0.9211382335128507,0.9613663970297892
0.17,0.9434523809523809,0.923481626104011,0.9615035594367531
0.18,0.9448696145124716,0.9253404994400257,0.961665362919987
0.19,0.9461451247165533,0.9266418879155839,0.9606110300266308
0.2,0.9471371882086168,0.9275646602044288,0.9599863146959517
0.21,0.9486961451247166,0.9293190107312621,0.9601696640190516
0.22,0.94968820861678,0.9304010015912598,0.9601696640190516
0.23,0.9513888888888888,0.9323352774135785,0.9599764957820245
0.24,0.9520975056689343,0.933150871382045,0.9597545490015593
0.25,0.9526643990929705,0.9338110615329822,0.9595180114279802
0.26,0.9530895691609977,0.9345374864029329,0.9596868817918953
0.27,0.953656462585034,0.9350319036882643,0.9590620375841971
0.28,0.9539399092970522,0.9353105180871767,0.9588679893513964
0.29,0.9543650793650794,0.9359129508279339,0.9588531199854649
0.3,0.9552154195011338,0.9368092133948639,0.9582364505173631
0.31,0.9552154195011338,0.9367262332369842,0.9578223859455713
0.32,0.9560657596371882,0.9376595261272747,0.9576147707151105
0.33,0.9566326530612245,0.9382781828538299,0.9576147707151105
0.34,0.9567743764172335,0.9384702759750695,0.9573933322298787
0.35,0.9570578231292517,0.9389076011939385,0.9569920308608229
0.36,0.957624716553288,0.9395446565303298,0.9569920308608229
0.37,0.9574829931972789,0.9393089752884718,0.9567861841891991
0.38,0.9579081632653061,0.93973434623772,0.9567861841891991
0.39,0.9579081632653061,0.939660822862943,0.9561673692748718
0.4,0.9581916099773242,0.9401235650108796,0.95636673879008
0.41,0.9581916099773242,0.9400752416431177,0.9561600752665849
0.42,0.9583333333333334,0.940203730631104,0.9559461916534918
0.43,0.9586167800453514,0.9404908900378434,0.9559461916534918
0.44,0.9591836734693877,0.9410771317823583,0.9557314205565269
0.45,0.9590419501133787,0.940853512650322,0.9549204990047133
0.46,0.9594671201814059,0.941344969265074,0.9549204990047133
0.47,0.9598922902494331,0.9421079949464323,0.9552941571590108
0.48,0.9600340136054422,0.9424990000298504,0.9552625639743176
0.49,0.9597505668934241,0.9420861804353341,0.9552625639743176
0.5,0.9596088435374149,0.942037616712735,0.955447278097904
0.51,0.9594671201814059,0.9418963936982517,0.9547894617617558
0.52,0.9594671201814059,0.9421649605073151,0.9549645614105613
0.53,0.9591836734693877,0.9417721212945032,0.9545571522946619
0.54,0.9587585034013606,0.9411983627384436,0.9541232205836387
0.55,0.9579081632653061,0.94012342844526,0.9532294366177325
0.56,0.9581916099773242,0.9403902904800471,0.9530323937207641
0.57,0.9579081632653061,0.9399668169862901,0.952818205364822
0.58,0.9574829931972789,0.9393150357266244,0.951967646484548
0.59,0.957624716553288,0.9393687633359757,0.9515265687209107
0.6,0.9573412698412699,0.9394730038688458,0.9516453000208875
0.61,0.9571995464852607,0.9392578609459025,0.9516079114571774
0.62,0.9569160997732427,0.9391904653323753,0.9517501376650339
0.63,0.9564909297052154,0.9387175855750938,0.9512770450847267
0.64,0.9559240362811792,0.9381971168438615,0.9512065028220684
0.65,0.9552154195011338,0.937244910316271,0.9511731580314491
0.66,0.9542233560090703,0.9357598234491769,0.9500906466159419
0.67,0.9540816326530612,0.9355405821237149,0.9500906466159419
0.68,0.953656462585034,0.9348077384478688,0.9494465316194661
0.69,0.9532312925170068,0.9340846607118878,0.949006757602192
0.7,0.9523809523809523,0.933106167716249,0.9489741180676367
0.71,0.9509637188208617,0.9310343637739426,0.9484979770018036
0.72,0.9501133786848073,0.9298264368828771,0.9480491274585301
0.73,0.9498299319727891,0.9294121282316108,0.9482413329138935
0.74,0.9482709750566893,0.9267198907321387,0.9478272493630191
0.75,0.9471371882086168,0.9246732623789612,0.9478111024251321
0.76,0.9460034013605442,0.9227632806903651,0.9471686089059326
0.77,0.9454365079365079,0.9214222501445932,0.9469559145862668
0.78,0.9447278911564626,0.9202450731001833,0.9469286106757128
0.79,0.9443027210884354,0.9194581804358949,0.9464979631658574
0.8,0.9438775510204082,0.9190923998586626,0.9464549296009037
0.81,0.9433106575963719,0.9178954956026574,0.9462364233590461
0.82,0.9427437641723356,0.9170404655524909,0.9457724090486614
0.83,0.9421768707482994,0.9161777962642116,0.9454947027514379
0.84,0.9413265306122449,0.9145325348831125,0.9448231806688888
0.85,0.9397675736961452,0.9115205293684431,0.9441053055082518
0.86,0.9383503401360545,0.9090964938052531,0.9430393861432916
0.87,0.9372165532879818,0.9072878162402275,0.9417337547400862
0.88,0.9360827664399093,0.90574479404378,0.9403974586917355
0.89,0.9349489795918368,0.9033933832752957,0.9397004277971671
0.9,0.9326814058956916,0.8989492352361466,0.9378899546788627
0.91,0.9308390022675737,0.8948941274410748,0.9369540786697707
0.92,0.9285714285714286,0.8885309243392429,0.9365035233935277
0.93,0.9246031746031746,0.8780495367838349,0.9344779945266792
0.94,0.9220521541950113,0.8722470279240834,0.9319894352433131
0.95,0.9152494331065759,0.8508220590725811,0.9288025647809338
0.96,0.9131235827664399,0.8467896216385502,0.9260419733412617
0.97,0.909155328798186,0.8414908560721952,0.9192381590016842
0.98,0.903202947845805,0.8330119705162818,0.9085631528399334
0.99,0.8878968253968254,0.8100868066128805,0.8812360240583332
1.0,0.5982142857142857,0.06238361266294227,0.0
