label,precision,recall,f1,support
yes,0.9728682170542635,0.98046875,0.9766536964980544,256
no,0.9404761904761905,0.9404761904761905,0.9404761904761905,252
up,0.9496402877697842,0.9705882352941176,0.96,272
down,0.9598393574297188,0.9446640316205533,0.952191235059761,253
left,0.9632352941176471,0.9812734082397003,0.9721706864564008,267
right,0.9879518072289156,0.9498069498069498,0.968503937007874,259
on,0.9916317991631799,0.9634146341463414,0.977319587628866,246
off,0.9844357976653697,0.9656488549618321,0.9749518304431599,262
stop,0.9798387096774194,0.9759036144578314,0.9778672032193159,249
go,0.94,0.9362549800796812,0.9381237524950099,251
unknown,0.9848414179104478,0.989456419868791,0.9871435250116876,4268
silence,0.9722222222222222,0.953307392996109,0.962671905697446,257
