label,precision,recall,f1,support
yes,0.97265625,0.97265625,0.97265625,256
no,0.9549180327868853,0.9246031746031746,0.9395161290322581,252
up,0.9595588235294118,0.9595588235294118,0.9595588235294118,272
down,0.9561752988047809,0.9486166007905138,0.9523809523809524,253
left,0.966542750929368,0.9737827715355806,0.9701492537313432,267
right,0.9641434262948207,0.9343629343629344,0.9490196078431373,259
on,0.9673469387755103,0.9634146341463414,0.9653767820773931,246
off,0.980544747081712,0.9618320610687023,0.9710982658959537,262
stop,0.979757085020243,0.9718875502008032,0.9758064516129032,249
go,0.9462809917355371,0.9123505976095617,0.9290060851926977,251
unknown,0.9877675840978594,0.9838331771321462,0.9857964549829792,4268
silence,0.8371335504885994,1.0,0.9113475177304965,257
