epoch,step,train_loss,val_macro_f1,val_accuracy,learning_rate
1,174,2.4445947285356193,0.18187842517180464,0.22647392290249432,0.010057471264367818
2,348,2.00183826068352,0.33661465788359335,0.35090702947845803,0.020057471264367816
3,522,1.340622487424434,0.5296878605129258,0.5034013605442177,0.03005747126436782
4,696,0.8824583644839539,0.6069026843368358,0.5702947845804989,0.04005747126436782
5,870,0.6771302404759945,0.6458594612507697,0.6207482993197279,0.05
6,1044,0.5880974397577089,0.6976708708060446,0.7018140589569161,0.05
7,1218,0.5347860977910031,0.781514445209822,0.8221371882086168,0.05
8,1392,0.5024509371697218,0.7557604119804665,0.7709750566893424,0.05
9,1566,0.4563004206651929,0.7934273389226735,0.8207199546485261,0.05
10,1740,0.4478494407630515,0.7917428708302828,0.82468820861678,0.05
11,1914,0.4245319988193183,0.7882567176775158,0.8171768707482994,0.05
12,2088,0.4020297695165393,0.6911638267281836,0.6799886621315193,0.05
13,2262,0.4053697017417557,0.769141782527022,0.7906746031746031,0.05
14,2436,0.3723620669595126,0.8236467544225753,0.8479308390022676,0.05
15,2610,0.3684447555021308,0.824368762479999,0.8585600907029478,0.05
16,2784,0.35319643270695344,0.8436325175035314,0.8774092970521542,0.05
17,2958,0.35264843342633084,0.862383717532451,0.8990929705215419,0.05
18,3132,0.3423550785786804,0.8306979897188564,0.8540249433106576,0.05
19,3306,0.34032678835350894,0.8342656137177832,0.873015873015873,0.05
20,3480,0.34299675692086934,0.8453841298813857,0.8903061224489796,0.05
21,3654,0.3241378454298809,0.8851992129766438,0.9202097505668935,0.05
22,3828,0.3296156504202163,0.8285298980711492,0.858985260770975,0.05
23,4002,0.32386991150420286,0.8450599325415425,0.8741496598639455,0.05
24,4176,0.3200179600510104,0.8508635317891163,0.8832199546485261,0.05
25,4350,0.302007548682306,0.8580904389218079,0.8901643990929705,0.05
26,4524,0.30383648457883417,0.9047233609237173,0.9301303854875284,0.05
27,4698,0.3057409817802495,0.8716650382958521,0.8990929705215419,0.05
28,4872,0.2984741868815203,0.8283119650173959,0.8585600907029478,0.05
29,5046,0.2963884909605158,0.7892749359836831,0.8122165532879818,0.05
30,5220,0.28871345614222277,0.8687767666153291,0.8979591836734694,0.05
31,5394,0.2921902544196995,0.8783314779546462,0.9070294784580499,0.05
32,5568,0.2792914819785918,0.8678348457764414,0.8945578231292517,0.05
33,5742,0.2881064939087835,0.8495706117515504,0.8779761904761905,0.05
34,5916,0.27381022325877485,0.8767550636318576,0.9135487528344671,0.05
35,6090,0.27779023841708556,0.8845755395057492,0.9180839002267573,0.05
36,6264,0.28230969316657933,0.8917406652445515,0.9238945578231292,0.05
37,6438,0.2749517685466114,0.8904206575789284,0.9207766439909297,0.05
38,6612,0.2712627997857401,0.8854424781773726,0.9210600907029478,0.05
39,6786,0.2713070264321634,0.877997010042132,0.9121315192743764,0.05
40,6960,0.27297202626179007,0.8762018470871119,0.9034863945578231,0.05
41,7134,0.26585444829416,0.867100441215176,0.8989512471655329,0.05
42,7308,0.27230595489000453,0.8903719125058892,0.923469387755102,0.05
43,7482,0.2541028179827778,0.8656313134874684,0.8939909297052154,0.05
44,7656,0.25807530651318616,0.8887718019439735,0.9175170068027211,0.05
45,7830,0.2605161478892825,0.8987818528455301,0.9255952380952381,0.04999999867988442
46,8004,0.2591701604254629,0.8889882270565953,0.9162414965986394,0.049959582577783955
47,8178,0.2524895951494403,0.888937919064069,0.9176587301587301,0.04983938440129454
48,8352,0.2517935974502015,0.8871817384018607,0.9111394557823129,0.04963979621188444
49,8526,0.26276327301373426,0.8797447350793757,0.9121315192743764,0.049361469024742644
