label,precision,recall,f1,support
yes,0.9840637450199203,0.96484375,0.9743589743589745,256
no,0.9397590361445783,0.9285714285714286,0.9341317365269461,252
up,0.9300699300699301,0.9779411764705882,0.953405017921147,272
down,0.9549180327868853,0.9209486166007905,0.937625754527163,253
left,0.9662921348314607,0.9662921348314607,0.9662921348314607,267
right,0.93359375,0.9227799227799228,0.9281553398058252,259
on,0.9444444444444444,0.967479674796748,0.9558232931726908,246
off,0.980544747081712,0.9618320610687023,0.9710982658959537,262
stop,0.9877551020408163,0.9718875502008032,0.9797570850202428,249
go,0.9133858267716536,0.9243027888446215,0.9188118811881189,251
unknown,0.972735674676525,0.9864104967197751,0.9795253606328526,4268
silence,0.9655172413793104,0.7626459143968871,0.8521739130434782,257
