tau,accuracy,macro_f1,keyword_macro_f1
0.0,0.3806689342403628,0.5855822318059555,0.9508756023098858
0.01,0.3806689342403628,0.5855822318059555,0.9508756023098858
0.02,0.3806689342403628,0.5855822318059555,0.9508756023098858
0.03,0.3806689342403628,0.5855822318059555,0.9508756023098858
0.04,0.3806689342403628,0.5855822318059555,0.9508756023098858
0.05,0.3806689342403628,0.5855822318059555,0.9508756023098858
0.06,0.3806689342403628,0.5855822318059555,0.9508756023098858
0.07,0.3806689342403628,0.5855822318059555,0.9508756023098858
0.08,0.3806689342403628,0.5855822318059555,0.9508756023098858
0.09,0.3806689342403628,0.5855822318059555,0.9508756023098858
0.1,0.8657879818594104,0.8401451419457766,0.9514019783229166
0.11,0.8924319727891157,0.8661745591687323,0.9540860587167984
0.12,0.9030612244897959,0.8770630183010687,0.9546790270713655
0.13,0.9102891156462585,0.884075588766585,0.9544790997722018
0.14,0.9162414965986394,0.8901797760520878,0.9548425018862705
0.15,0.9220521541950113,0.895856875127263,0.9540193908049407
0.16,0.927437641723356,0.9011597761640792,0.9534183517995283
0.17,0.9302721088435374,0.90421890817459,0.9535874134349169
0.18,0.9329648526077098,0.9071570707333986,0.9539439766556633
0.19,0.935374149659864,0.9099479866923709,0.953481855788832
0.2,0.9377834467120182,0.9123643737287545,0.9532644221547697
0.21,0.939625850340136,0.914418945145944,0.9528604428986996
0.22,0.941468253968254,0.9163097232385881,0.9524675064311985
0.23,0.9428854875283447,0.9179376878881192,0.9523924130064023
0.24,0.9445861678004536,0.9199750596640387,0.95257405603006
0.25,0.9455782312925171,0.9210368543753882,0.95257405603006
0.26,0.9462868480725624,0.9220028710374578,0.952736671986186
0.27,0.9468537414965986,0.9228082224365698,0.9525118843384994
0.28,0.9472789115646258,0.9233748954015216,0.9525118843384994
0.29,0.9472789115646258,0.9232608569376605,0.9518887972778967
0.3,0.9486961451247166,0.9247903650028744,0.9518887972778967
0.31,0.9494047619047619,0.9254710271503687,0.9514697574928345
0.32,0.9498299319727891,0.9259403730641838,0.9514697574928345
0.33,0.9505385487528345,0.9273026478704544,0.951871160717553
0.34,0.9505385487528345,0.9274105571323945,0.951666769499988
0.35,0.9512471655328798,0.9281070159246038,0.9514457896025622
0.36,0.9518140589569161,0.9288177586017835,0.9514044276043887
0.37,0.9525226757369615,0.9295780613483627,0.9511825475851812
0.38,0.953514739229025,0.9307559795225632,0.9511546858162058
0.39,0.9542233560090703,0.9316976102829861,0.9511546858162058
0.4,0.9546485260770975,0.9324947567393328,0.9508901856045837
0.41,0.9553571428571429,0.9333385775113388,0.950684975183742
0.42,0.9559240362811792,0.9342380176923578,0.9506512926106984
0.43,0.9562074829931972,0.9345129893986256,0.9502170115783614
0.44,0.9566326530612245,0.9353765364546326,0.9507651442415325
0.45,0.9566326530612245,0.935575677897245,0.9505383634463327
0.46,0.9571995464852607,0.9363514449290472,0.9507308072439962
0.47,0.9580498866213152,0.9380699949287675,0.951062209715197
0.48,0.9584750566893424,0.9384673721853365,0.9506514264613353
0.49,0.9580498866213152,0.9381636346404507,0.9501762845381665
0.5,0.9584750566893424,0.9386140796177985,0.9499685867384651
0.51,0.9584750566893424,0.9386140796177985,0.9499685867384651
0.52,0.9580498866213152,0.9381554852029956,0.949310071083097
0.53,0.9583333333333334,0.9387240201009576,0.9492771529107538
0.54,0.9579081632653061,0.9382825413441441,0.948431710375267
0.55,0.9580498866213152,0.9388179184955957,0.9487567227889727
0.56,0.9580498866213152,0.9397295973389218,0.949606160849689
0.57,0.9584750566893424,0.9403388325265465,0.9495722639272094
0.58,0.9586167800453514,0.9405701896950278,0.9491085324817827
0.59,0.9591836734693877,0.9413719505654634,0.9491085324817827
0.6,0.9591836734693877,0.9416066507223358,0.9488492127075844
0.61,0.9587585034013606,0.9412657390294085,0.947945131875011
0.62,0.9589002267573696,0.9415449675589126,0.9479284603228626
0.63,0.9587585034013606,0.9414886891033832,0.9475105992664205
0.64,0.9591836734693877,0.9421846971799047,0.9472602803010162
0.65,0.9583333333333334,0.9410036996859801,0.945933528523814
0.66,0.9583333333333334,0.9409773810765497,0.945933528523814
0.67,0.9583333333333334,0.9409303965766375,0.9457301717042
0.68,0.957624716553288,0.940696359255805,0.9451967951130091
0.69,0.9573412698412699,0.9403079113042173,0.944568252062901
