label,precision,recall,f1,support
yes,0.9686274509803922,0.96484375,0.9667318982387475,256
no,0.9402390438247012,0.9365079365079365,0.9383697813121272,252
up,0.9923371647509579,0.9522058823529411,0.9718574108818012,272
down,0.9541666666666667,0.9051383399209486,0.9290060851926978,253
left,0.940959409594096,0.9550561797752809,0.9479553903345724,267
right,0.964,0.9305019305019305,0.9469548133595284,259
on,0.9404761904761905,0.9634146341463414,0.9518072289156626,246
off,0.9918367346938776,0.9274809160305344,0.9585798816568047,262
stop,0.9918367346938776,0.9759036144578314,0.9838056680161944,249
go,0.8935361216730038,0.9362549800796812,0.914396887159533,251
unknown,0.9873269185637175,0.9857075913776945,0.986516590456091,4268
silence,0.8557046979865772,0.9922178988326849,0.918918918918919,257
